Name,Organization,Project
Alexander Demin,The Julia Language,Developing LoopModels
Alexandre Alemany,Liquid Galaxy project,Liquid Galaxy tool to predict possible satellite collisions with special garbage
alexcsf,Jitsi,JVB Prometheus Stats
alexpapadopoulos,Open Technologies Alliance - GFOSS,Expanding Hephaestus to type-check the TypeScript compiler
Ali Imran,Free and Open Source Silicon Foundation,Development Framework for Open MPW Shuttles
Alias Qli,Haskell.org,New Hackage Features
Alisha Kamat,Joomla!,SEO features for Joomla! 4.0
Allen Jonathan David,Django Software Foundation,Per field-instance lookups
Aloha Churchill,GNSS-SDR,Completing Processing of Beidou B2a Signals Proposal
alxndrdiaz,Wellcome Sanger Tree of Life,Conversion of the BlobToolKit pipeline to Nextflow
Amal Paul,Wikimedia Foundation,Command-line interface (CLI) for Canasta
Amal Saif,Machine Learning for Science (ML4SCI),Anomalies Detection
Amal Thundiyil,Kart Project,Kart CLI Help Improvements
Aman .,CircuitVerse.org,Mobile App Enhancements
Aman Arora,The Linux Foundation,An Offline voice-agent for Automotive Grade Linux
Aman Pandey,OpenAstronomy,Spectral Timing in Julia
Aman Raj,Open Food Facts,Implement an offline mode for the new Open Food Facts Flutter application
Aman_K,AOSSIE,Monumento
Aman2346,CCExtractor Development,URL Shortener with a twist
amankrx,GNOME Foundation,Reworking Sync Options for Health
amanpro30,OWASP Foundation,Migration to Modern React with TypeScript & React Hooks
Ambra Jin,Orcasound,Multimodal sound monitoring Ambra Jin
Amey Bhatuse,Machine Learning for Science (ML4SCI),Quantum Generative Adversarial Neural Networks for High Energy Physics Analysis at the LHC
amit_62,"Department of Biomedical Informatics, Emory University",A server environment for the concore framework
Amogh Johri,INCF,Developing a LaTeX to XML Pipeline and Exploring a Standalone Platform for NBDT Journal
Amol Singh,MZmine,Interactive Molecular Networking Visualizer
Amr Salah,OpenMRS,OpenMRS Android Client Project 3.0.x
Amrit Borah,Xfce,Thunar & XFCE Terminal
Amritpan Kaur,Swift,Improving Debug Output Of The Type Inference Algorithm
anand2312,CERN-HSF,Migrate the Smashbox test suite to Python 3
Ananya,DBpedia,Neural Extraction Framework
Anastasios-Theodosios Meletlidis,Internet Health Report,Plug and Plot with Internet data
AndreaRuru,freifunk,Implement elRepo.io unit testing
Anh,INCF,Conversion of a public neurophysiology dataset to Neurodata Without Borders (NWB) format
AnhTran,Polypheny,Data Source Adapter for Google Sheets
Anik,Sugar Labs,Music Blocks 4 Build Tooling Improvements
Anika Tibrewala,The Mifos Initiative,Digital Bank UI on  Fineract CN
Aniket,Internet Health Report,Exploration of open datasets on the IHR website
Aniket Ranjan,National Resource for Network Biology (NRNB),Adding visualization of protein-complex interaction to OpenPIP
Aniruddha Thakre,Genome Assembly and Annotation,Project VGNC
Anirudh Prabhakaran,Public Lab,Legacy Code Deprecation
Anish Surendra Umale,Mathesar,Support Importing Data into Existing Tables
Anjishnu Mukherjee,Responsible AI and Human Centred Technology,Tutorials for Working with Interpretable and Explainable AI with LIT
Anjula Samarasinghe,OpenMRS,Redo Legacy UI Cohort Builder
ankiitgupta7,Red Hen Lab,Simulating Representational Communication in Vervet Monkeys using Agent-Based Simulation
Ankit18Gupta,Wikimedia Foundation,Edit Request Wizard
Anmol Agrawal,omegaUp,Accounts for children
AnmolGupta,The Mifos Initiative,Integrating an IAM system with Payment-Hub
Annie Zheng,Processing Foundation,BONDS: Improving the p5.js Showcase’s Accessibility to Expand Community Support For New Coders
Ansh Dassani,NumFOCUS,[Data Retriever] DeepForest Multi-class Training and Prediction
Ansh Goyal,MetaBrainz Foundation Inc,CritiqueBrainz reviews for BookBrainz entities
Anshuman Dhiman,Python Software Foundation,EOS icons Figma and Adobe XD plugins and website
Anshuman Maurya,Oppia Foundation,Achieve 100% Per-File Branch and Line Coverage for the Frontend and the Backend
Anubhab Ghosh,LLVM Compiler Infrastructure,Shared Memory Based JITLink Memory Manager
Anuja Raj Verma,Wagtail,Windows High Contrast Mode Support
anujanegi,INCF,"Project Idea 9.1: Open source, cross simulator, large scale cortical models in NeuroML and PyNN"
Anupam Kumar,GNOME Foundation,Chromecast support for GNOME Network Displays
Anurag Singh Rajawat,Eclipse Foundation,Eclipse JKube™: Migrate To JUnit5 Testing Framework from JUnit4
Anutosh Surendra Bhat,SymPy,Improving Series Expansions and Limit Computations
anwersayeed,The Palisadoes Foundation,Automated Documentation
Apoorv Garg,JdeRobot,Robotics-Academy: improvement of the web templates using powerful frontend technologies
Aravind Mohandas,Haskell.org,Formalising Konnakol using Haskell
arcAman07,NumFOCUS,Differentiable Computer Vision
Archil Srivastava,Machine Learning for Science (ML4SCI),Transformers for Dark Matter Morphology with Strong Gravitational Lensing
Argyrios Papoudakis,Red Hen Lab,Machine Detection of Film Edits
Aritz Erkiaga,Open Chemistry,Enhancing Avogadro for Biomolecular Modeling
Arkaprabha Chakraborty,OWASP Foundation,ZAP add-on: param miner
armleo,Center for Research in Open Source Software (CROSS),OpenLane/SKY130 Demos and tutorials
Arnie Jhingran,OpenAFS,Stress testing framework for openAFS Bugs
Arsalan Cheema,Haskell.org,Operating Chrome with Haskell
Arseny Uskov,Dart,Compatibility Analysis: Detecting Semantic Version Violations
Arteev Raina,Fortran-lang,fpm-ize the Fortran ecosystem
arul,CERN-HSF,Advanced Belle II Software Validation
Arunava Basu,OpenAstronomy,Radis App Improvement
Aryaman,OpenWISP,Add Iperf bandwidth monitoring check to OpenWISP Monitoring
aryamanJgl,NumFOCUS,Improve CVXPY’s capabilities for quantum information modeling
Aryan Amit Barsainyan,Open Chemistry,D-MPNN Model Implementation for DeepChem
Aryan Kaushik,GNOME Foundation,Pitivi: Port UI to GTK4
Aryan Narayan,Semi Technologies,Improving the Weaviate CLI
Aryan Prasad,OWASP Foundation,Updating the OWASP DSOMM webpage
Aryan Ranjan,OWASP Foundation,Bug Logging Tool (BLT)
AryanChaurasia,Responsible AI and Human Centred Technology,XAI models for 🔥LIT
aryanshridhar,Electron,Enable Context Isolation in Electron Fiddle
Asanka,Open Genome Informatics,Community Access Portal to Reactome Archive
Asavari Ambavane,Center for Research in Open Source Software (CROSS),[PolyPhy] Develop a website for PolyPhy - UC CROSS GSoC Contributor Proposal
Ashirwad Mishra,Fortran-lang,Build or embed online playground for fortran-lang.org
Ashutosh Aswal,MetaBrainz Foundation Inc,MusicBrainz Android App: Adding BrainzPlayer in Android App
Ashutosh Gautam,Sugar Labs,Music Blocks v3 Maintenance
Ashutosh Pandey,LLVM Compiler Infrastructure,Code coverage metrics for the LLVM Compiler Infrastructure
Ashwani Rathee,The Julia Language,"Improved ImageIO: adding JPEG2000, GIF, and EXIF support"
asipos,CGAL Project,Isosurfacing: Marching Cubes and Dual Contouring in Octrees
Asmit Kumar Sirohi,The Palisadoes Foundation,Admin Web Portal: New Features Support and Spam Mitigation
Asmit Malakannawar,GNOME Foundation,Faces of GNOME - Continuing the Development of the Platform
asrient,Joplin,Improve PDF previewer of Joplin
Aswini,rocket.chat,Weekly Video Meeting and Archive App - BigBlueButton + Rocket.Chat
Atharv Sonwane,The Julia Language,FlashFill Implementation in Julia
Atharva Amritkar,Gentoo Foundation,RISC-V support for Gentoo Prefix
Atharva Arya,TARDIS RT Collaboration,Improving the Carsus Testing Framework
Atmika Mishra,cBioPortal for Cancer Genomics,Lollipop plot in Group Comparisons
Austin Pereira,INCF,GBC EEG platform
Austin Slominski,Processing Foundation,Resolving Bugs and Expanding Documentation for WebGL in p5.js
Avi Mishra,Plone Foundation,Create new Volto themes
Avijeet Maurya,ScummVM,Finishing implementation of incomplete engines.
Avinaash M Vijayvargiya,The Mifos Initiative,Refactor Android Client & Rewrite using Android SDK
Aviral Kumar Goel,"Department of Biomedical Informatics, Emory University",Adopt DHGWorkflow for concore with a seamless integration
Aya Mohamed Alaa,MDAnalysis,Context-aware guesser (implementing PDB and Martini guessers)
Ayan Sarkar,Wikimedia Foundation,Make it easier for contributors to choose pictures for upload on the Commons Android app
Ayka,Free and Open Source Silicon Foundation,Enhancing the Sootty Terminal-based Graphical Waveform Viewer
Aylin Aydın,TensorFlow,Contribute to TensorFlow Similarity
Ayush  Kumar,Global Alliance for Genomics and Health,Federating workflow execution using GA4GH Cloud APIs
Ayush Anand,IOOS,Making ocean biodiversity data easily accessible with python (pyobis revamp)
Ayush Bansal,SCoRe Lab,"CodeLabz - FrontEnd, News Feed, Profiles, Organization, Profiles"
Ayush Satyam,Python Software Foundation,EOS Icons Next.js & TypeScript Migration
Ayush Singh,TianoCore,Add Rust Support to EDK II
Ayush-8,CHAOSS,Open Source Health Metrics Visualization Exploration
Ayush7614,FOSSology,REST API and UI improvements
ayushjaink8,Oppia Foundation,Adding a Contributor Dashboard Stats Page
Ayyuce Demirbas,TensorFlow,Developing demos for TensorFlow Lite Micro
BasharAhmed,Inkscape,Integrating Tesseract OCR into Inkscape
Basit Hasan,CNCF,Single binary deployment outside kubernetes environment.
Bedo Khaled,Learning Equality,Fixture Generation for Testing
Beleswar Prasad Padhi,Metasploit,Implementing HTTP-Trace enabled Login Scanners
Benjamin Chew,Orcasound,#30_BenjaminChew_Streamlining OrcaAL tool
Benjamin Doron,TianoCore,Minimum Platform - Implement support for S3 resume and closed-chassis HDMI debug
Berke,Open Technologies Alliance - GFOSS,First Year Student on Parallelised Flows
Berke Yavas,OpenCV,Improved imgcodecs
Daniel Adedeji,Jitsi,Vuejs SDK
BFedder,MDAnalysis,Adding Energy Readers to MDAnalysis
Bharath K K,Python Software Foundation,XSparse - A C++ sparse array library for optimized runtime performance
Bhargavi Reddy K,Eclipse Foundation,Migrate To Mockito For Mocking Tests
Bhavesh Asanabada,Apache Software Foundation,SMILES data Models
Bhupendra,OSGeo (Open Source Geospatial Foundation),ZOO-Project - Adding Cesium support within MapMint
Bhuvan R J,Plone Foundation,Recycle Bin
bing,GNU Radio,GNU Radio goes Browser: Web Assembly (WASM) port Proposal
bingokingo,The Julia Language,Electron App for Pluto
Bishoy Magdy Adeeb,Joplin,Email Plugin
BlankBuffer,The Julia Language,Julia Symbolics Algebra Simplification and Equation Solving
Bo Lv,OpenVINO Toolkit,Object Detection demo application to run AI on ARM-based Android devices
bohr_ch,Ste||ar group,Implement your favorite Computational Algorithm in HPX   ( Molecular Dynamics Simulation of Metal)
Bojan Novković,The FreeBSD Project,bhyve debug server enhancements
Bowen Zhu,NumFOCUS,Model Order Reduction in Julia SciML
Brandon Ong,Scala Center,Doodle Bitmap Support
Brayan Oliveira,AnkiDroid,CSV Importer and Improve Preferences UI/UX
Brian McCorkle,INCF,A Collective Cognition Model for AI Ethics
Bruce Wang,Ceph,End to End Tracing - Shiyu(Bruce) Wang
bryan506,R project for statistical computing,Expected Returns: Analysis and Replication using FactorAnalytics and PerformanceAnalytics in R
bschnepp,The NetBSD Foundation,Raspberry Pi GPU Driver
c1e0,SageMath,Edge connectivity and edge disjoint spanning trees in digraphs
Carla Floricel,Mayor's Office of New Urban Mechanics,Mayor’s Office of New Urban Mechanics GSoC Proposal
Catcream,Gentoo Foundation,Gentoo musl support expansion
ccldarjun,The NetBSD Foundation,inetd enhancements
cdhiraj40,52°North Spatial Information Research GmbH,enviroCar App: Voice Command
cgatsiou,Open Technologies Alliance - GFOSS,I/O infrastructure for Apothesis
cgeorgia,SageMath,Edge connectivity and edge disjoint spanning trees in digraphs
Ch Vishnu Nithin Reddy,Oppia Foundation,Celebrating learners' accomplishments
chaliyaa,Open Bioinformatics Foundation (OBF),Feature Viewer - Enhanced User Experience and Performance
Chamika Sudusinghe,Center for Research in Open Source Software (CROSS),VLSI Power Planning and Analysis
Chandra Kiran Guntur,NumFOCUS,Text Development for FastAI.jl
Chandresh Soni,The Linux Foundation,converting Braille embosser support into a printer application
Charles258,OpenCV,Yiyao Wang_Proposal_lightweight OCR models
Charlie Jiang,FreeType,Improve FreeType demo program ftinspect
Chen Yuetao,openSUSE Project,Dynamic detection of error conditions from openQA test results
Chenghao Tan,ArduPilot,Boat Object Avoidance with  Luxonis AI Camera Using Image Segmentation
Chetan Subhash Shinde,BRL-CAD,Create a new KiCad importer for LTSpice.
CheverJohn,Dart,Writing integration tests for Plus plugins
Chidiebere,Cuneiform Digital Library Initiative (CDLI),Improve the credits: ownership and licencing of digital assets
Chinmay Lonkar,Flashrom,GSoC 2022 Proposal : Flashrom
Chris Park,OpenStreetMap,Re-Introducing Transit Routing Support to Valhalla
Chris Schmitz,Responsible AI and Human Centred Technology,Fair Data (Re)weighting
Chris Stbl,NumFOCUS,Notebook Enhancements for QuTiP 5
Christopher Chong,Zulip,Improve the Framework of Zulip’s Native Integrations
christos,The FreeBSD Project,Instruction-Level Dynamic Tracing
Chusheng Wu,Apache Software Foundation,Apache skywalking: Add the webapp of Banyandb
Chuyang,OpenCV,Efficient Data Augmentation Module in OpenCV for DL Training
Circle Chen,Cuneiform Digital Library Initiative (CDLI),Towards a General-Purpose Entity-Bibliography Linking System
clairefollett,Python Software Foundation,Intuitive and Accessible Documentation Editing
Claudio Cambra,VideoLAN,VLC macOS Interface Redesign
clette,Debian,ANDROID SDK TOOL IN DEBIAN
cmyk-student,GNU Image Manipulation Program,Implement basic CMYK support in GIMP
Colten,Haskell.org,Improve HLS Support for Record-Dot-Syntax
ConanEdogawa,Free and Open Source Silicon Foundation,Logical Equivalence Checks with LLHD
conghuhu,Apache Software Foundation,Thin SDK for Proxy Mesh
connorbailey,The FreeBSD Project,FreeBSD Bootloader quality of life improvements
Conor Hassan,NumFOCUS,Fast Exact Gaussian Processes
Cr1t-GYM,Jenkins,Jenkinsfile Runner Action for GitHub Actions
Cristian C. Beltran-Hernandez,MoveIt,Simultaneous Trajectory Execution
CRiSTiK24,BRL-CAD,LibreCAD 3 automatic releases
CrocHold,Open Technologies Alliance - GFOSS,Development of a backend management system for NodeRed instances
cs1137195420,Casbin,Encapsulation of casbin-cpp and other enhancements for pycasbin
Curious,RTEMS Project,Basic R5 BSP for Qemu
Cyl,Apache Software Foundation,Apache Dubbo GSoC2022 Proxyless Mesh support
Daman Arora,Apache Software Foundation,CloudStack Terraform Provider - Add datasources for the existing resources
Danai Brilli,Open Technologies Alliance - GFOSS,DIY Robot
Danh Phan,NumFOCUS,Multi-output Gaussian Processes in PyMC
Daniel Bertalan,Chromium,Improvements to the Mach-O LLD linker
Daniel Peix,RoboComp,Reinforcement Learning for pick and place operations
Daniel Willmott,Monado,Porting OpenGloves to Monado
daniel_agyapong,R project for statistical computing,An R package which makes it easy to run performance tests on R packages which use testthat and git.
Daniilor,LibreHealth,"Medical images classification, segmentation and detection in VR"
Danish Ahmed Mirza,rocket.chat,New Emoji Picker for Mobile Client
Danylo Boiko,Chromium,Support new IR in V8 Turbolizer
Dasith Edirisinghe,Semi Technologies,Make a new Weaviate module
David Chocholatý,Mixxx,Pitch shift and Auto-Tune effects
ddvn,RTEMS Project,STM32F4 BSP Project
Dec1s1on,Intel Video and Audio for Linux,Dense Depth Estimation from Multiple 360-degree Images
Deepak Dinesh,Django Software Foundation,Django Benchmarking
Deepak Khatri,The Linux Foundation,Scanning Support in PAPPL with IPP Scan Interface
Deependra Singh,JBoss Community,Flotta- Edge example application
Deeptendu Santra,The Julia Language,Graph Datasets for MLDatasets.jl
Devarsh Mavani,MIT App Inventor,Autopublish AIA for Help/Support
Devdoot Chatterjee,Orcasound,"Multimodal sound monitoring: hydrophones, vessel tracking via AIS, radar, and camera systems"
Devesh Kumar,Open Bioinformatics Foundation (OBF),"Migration of the backend to Express, GraphQL, and MongoDB"
Devjit Choudhury,CircuitVerse.org,New Frontend Framework for Simulator UI
devmrfitz,The Honeynet Project,IntelOwl v4 improvements
DevUt,libcamera,Adding controls support to libcamera test applications
Dheeraj Singh Jodha,Jenkins,Plugin Health Scoring System
Dhruv Chawla,The ENIGMA Team,Data Buffers / Serialization
Dhruva Gole,The Linux Foundation,Arduino module based on Zephyr
Dhruvi Doshi,SCoRe Lab,IPv6 Survey Tool ( Survey6 )
DigvijayBhosale1729,OWASP Foundation,"Improving SecureTea firewall, IDS, adding a persistent AntiVirus, remote monitoring and better GUI."
Dinara Issagaliyeva,INCF,2.1 Developing a tool to easily store data and study details
Dingrui Lei,IOOS,Echoshader: Interactive visualization of ocean sonar data
Diptarko Choudhury,Machine Learning for Science (ML4SCI),Vision Transformers for End-to-End Particle Reconstruction for the CMS Experiment
Divyam Agarwal,Open Chemistry,Implement multi-step calculation protocols
Divyam Ahuja,Chromium,Audio Worklet for Emscripten
Divyansh Jain,OWASP Foundation,Nettacker
Divyansh Kushwaha,AnkiDroid,Migrate AsyncTask to Kotlin Coroutines
Divyansh Tiwari,CERN-HSF,Symplectic Integrators
divyansh-agarwal,Sugar Labs,Exerciser Evaluation mode
Divyanshu Garg,BRL-CAD,BRL-CAD Project Site
diwash007,Python Software Foundation,PSF GSoC: Resolve bugs and usage issues on Python-blogs
DMaroo,Rizin,RzIL uplifting migration
Dnouv,rocket.chat,Rocket.Chat for Virtual Conferences - Eventyay integration
Do Tien Dung,MBDyn,Blendyn Development
Dolce Paradise,JdeRobot,Robotics Academy: migration of several exercises from ROS1 to ROS2 and refinement
Dominic Martinez,Haiku,Jam Replacement (Ham)
Dominik Peteler,Haskell.org,Modularizing GHC
Domján Dániel,LLVM Compiler Infrastructure,Implement support for C++17 structured bindings in the Clang Static Analyzer
Donglin Xie,PostgreSQL,Pgexporter: Custom file
DongWook Lee,PostgreSQL,Improve PostgreSQL Regression Test Coverage
Dongyang Zheng,CCExtractor Development,a modern RPC interface
doubiiii,TensorFlow,Contribute to KerasCV and KerasNLP
DRAGON2002,Python Software Foundation,cve-bin-tool : Improve language-specific package support
Drifter,SCoRe Lab,CrawlerX - Extend CrawlerX for multi protocols
dxxepxxth,The Linux Foundation,Official Release  of Open-source Uptane Server (“OTA Community Edition”)
Ebrahim,The Palisadoes Foundation,Multi-Tennancy
Edison Siow,Python Software Foundation,DFFML: Implementing AutoML
Eileen Yu,GitLab,Package Hunter for Kubernetes
Electronix1337,International Catrobat Association,Pocket Paint for Android: Erase background tool (make it transparent more easily)
Eleftheria Papagergiou,Open Technologies Alliance - GFOSS,Development of a DIY robot kit for educators
Emre Saldiran,ArduPilot,Custom Controller Implementation Using MathWorks Simulink Code Generation
EN-WEI WU,The FreeBSD Project,"Add sta, hostap and adhoc mode to wtap wlan simulator"
eopXD,LLVM Compiler Infrastructure,Learning loop transformation policy and it's effect on RISC-V
erdengk,Apache Software Foundation,Apache ShenYu: Integration tests cover more scenarios
Eric Sánchez,GNSS-SDR,Integration of anti-spoofing techniques in GNSS-SDR
Eric Wang,LLVM Compiler Infrastructure,Learning Live Ranges Priority Policy
Eric Y. Kim,Keptn,Entity Custom Resource Definitions for GitOps
Erick Calderon-Morales,PEcAn Project,Sobol Variance Partitioning Implementation for PEcAn’s uncertainty module
erikiceliu,Apache Software Foundation,Apache APISIX Java Plugin Runner Improvement
erikwhiting,Open Bioinformatics Foundation (OBF),Improving automated wrapping of C++ code in Python (OpenMS/autowrap)
Erin,NumFOCUS,Facility Location Modeling (spopt) Package Development
Eshaan Agarwal,mlpack,"Addition of PPO, Twin Delayed DDPG, Hindsight Experience Replay to RL Codebase"
etemesi,FFmpeg,Add support for Part 15 to the JPEG 2000 (HT) decoder
etXzat,GRAME,Faust Integration in HISE
Evan Slack,rocket.chat,Rocket.Chat Golang SDK
Evelyn Ali,Global Alliance for Genomics and Health,BioSerDe: (De)Serializing bioinformatics file formats to alternative representations
Everly Precia Suresh,Apache Software Foundation,Solve unsupported Postgres sql about alter statement for ShardingSphere Parser
Excel,CNCF,KubeVela - Improve the Capabilities of KubeVela GitOps to make it a standalone Addon
Ezra Pierce,BeagleBoard.org,Running Machine Learning Models on Bela
f-a,Haskell.org,reimplement `cabal check`
Fabrizio Sandri,R project for statistical computing,RcppDeepState: GitHub Action and library improvements
Faisal Abbas,GNU Compiler Collection (GCC),Complete Support for Constant Folding in GCC Rust Frontend
fanxiaolin,Open3D team,Open3D visualization on cloud notebooks
Fardeen Faisal,Organic Maps,Public Transport Support
Fatih Emre,Mixxx,Track Suggestion Feature
Felix Schlegel,Swift,Kafka Client Package for Swift
Feng Han,Apache Software Foundation,Multi-source data import and export extension for APISIX Dashboard
Ferdinand Mom,VideoLAN,AVX2 for VVC codec
Fikar,Homebrew,Deduplicate and cleanup GitHub Actions
Fizza Rubab,National Resource for Network Biology (NRNB),High-throughput simulation for computational cell biology with Cloud-COPASI
flyingcakes,KDE Community,Adding Spaces Support in NeoChat
Forcha,Public Lab,Infragram.org: full-screen UI and video upload
Fotios Valasiadis,Open Technologies Alliance - GFOSS,Compilation Process Recorder
Fredrik Wieczerkowski,Swift,Bootstrapping SwiftSyntaxBuilder
frejmus,Jitsi,Create a React Native SDK for Jitsi Meet
fwhdzh,FOSSology,Introduce concept of project in FOSSology
G PAVITHRA,The Linux Foundation,Scalability and speed in Perf command - Linux
G Yuvan Shankar,CGAL Project,Remove Boost Parameter Dependency
Gabriel Agostini,NumFOCUS,[pysal] Morphological Street Network Simplification
Gabriel Simonetto,Global Alliance for Genomics and Health,BioSerDe: (De)Serializing bioinformatics file formats to alternative representations
Ganesh Pawar,Zulip,Improve shared components and remove Bootstrap as a dependency.
ganimtron_10,Python Software Foundation,FURY: Improve UI elements for drawing geometrical shapes
garrettmflynn,INCF,23.1 An Open-Source Software Suite for EEG Artifact Annotation on Web Browsers
gary ding,OpenCV,FIRST Robotics with OAK-D Camera
Gaurang Pramod Kudale,The JPF team,Add Gradle support for SymbolicPathFinder
Gaurav Purswani,Metasploit,Improving the Post Exploitation API
Gaurav884,OWASP Foundation,OWTF Web Interface Enhancement
Gautam Agrawal,QEMU,Improve s390x (IBM Z) emulation with RISU
